game_id,title,issue_count,issues
165,Outriders,0,
166,Moving Out 2,1,categories: not sorted alphabetically
167,Divinity: Original Sin,0,
169,Warhammer: End Times - Vermintide,0,
170,Devour,0,
172,Grand Theft Auto V Legacy,0,
173,Baldur's Gate 3,1,categories: not sorted alphabetically
174,War Thunder,0,
175,EA SPORTS FC 25,1,categories: not sorted alphabetically
176,Hearts of Iron IV,2,categories: not sorted alphabetically; genres: not sorted alphabetically
177,NBA 2K25,1,categories: not sorted alphabetically
178,Schedule I,2,categories: not sorted alphabetically; genres: not sorted alphabetically
179,FINAL FANTASY XIV Online,2,categories: not sorted alphabetically; genres: not sorted alphabetically
180,FANTASY LIFE i: The Girl Who Steals Time,2,categories: not sorted alphabetically; genres: not sorted alphabetically
181,Lost Ark,2,categories: not sorted alphabetically; genres: not sorted alphabetically
182,Path of Exile 2,0,
183,The Elder Scrolls Online,2,categories: not sorted alphabetically; genres: not sorted alphabetically
184,Farming Simulator 25,0,
186,Europa Universalis IV,0,
187,Enshrouded,2,categories: not sorted alphabetically; genres: not sorted alphabetically
188,Unturned,2,categories: not sorted alphabetically; genres: not sorted alphabetically
189,Forza Horizon 5,2,categories: not sorted alphabetically; genres: not sorted alphabetically
190,Tom Clancy’s The Division 2,0,
191,World of Warships,1,categories: not sorted alphabetically
192,RoadCraft,0,
193,MapleStory,1,categories: not sorted alphabetically
194,World of Tanks Blitz,1,categories: not sorted alphabetically
195,Farming Simulator 22,0,
196,F1 25,1,categories: not sorted alphabetically
198,Tabletop Simulator,2,categories: not sorted alphabetically; genres: not sorted alphabetically
199,SMITE 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
200,Forza Horizon 4,2,categories: not sorted alphabetically; genres: not sorted alphabetically
201,Elite Dangerous,0,
202,Supermarket Together,1,categories: not sorted alphabetically
203,Total War: THREE KINGDOMS,2,categories: not sorted alphabetically; genres: not sorted alphabetically
204,DARK SOULS III,2,categories: not sorted alphabetically; genres: not sorted alphabetically
205,POPUCOM,2,categories: not sorted alphabetically; genres: not sorted alphabetically
206,Total War: ROME II - Emperor Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
207,The Spell Brigade,1,categories: not sorted alphabetically
208,Drive Beyond Horizons,1,categories: not sorted alphabetically
209,Shop Titans,2,categories: not sorted alphabetically; genres: not sorted alphabetically
210,Guild Wars 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
212,Fishing Planet,2,categories: not sorted alphabetically; genres: not sorted alphabetically
213,DDraceNetwork,2,categories: not sorted alphabetically; genres: not sorted alphabetically
214,Game of Thrones: Kingsroad,1,categories: not sorted alphabetically
215,Ravenswatch,1,categories: not sorted alphabetically
216,Enlisted: Reinforced,0,
217,PowerWash Simulator,0,
218,House Flipper 2,1,categories: not sorted alphabetically
219,Supermarket Simulator,1,categories: not sorted alphabetically
220,Company of Heroes 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
221,Devil May Cry 5,0,
222,Call to Arms - Gates of Hell: Ostfront,2,categories: not sorted alphabetically; genres: not sorted alphabetically
223,Red Dead Online,0,
224,Company of Heroes 3,2,categories: not sorted alphabetically; genres: not sorted alphabetically
226,Realm of the Mad God Exalt,2,categories: not sorted alphabetically; genres: not sorted alphabetically
227,Predecessor,1,categories: not sorted alphabetically
228,Total War: SHOGUN 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
229,PGA TOUR 2K25,1,categories: not sorted alphabetically
230,Mechabellum,2,categories: not sorted alphabetically; genres: not sorted alphabetically
231,Age of Wonders 4,2,categories: not sorted alphabetically; genres: not sorted alphabetically
232,Escape Simulator,0,
233,Pikuniku,0,
234,GTFO,1,categories: not sorted alphabetically
235,We Need To Go Deeper,1,categories: not sorted alphabetically
236,Dungeon of the ENDLESS™,2,categories: not sorted alphabetically; genres: not sorted alphabetically
237,Heave Ho,1,categories: not sorted alphabetically
238,Necesse,2,categories: not sorted alphabetically; genres: not sorted alphabetically
239,Ghost Watchers,1,categories: not sorted alphabetically
240,Chained Together,1,categories: not sorted alphabetically
241,Besiege,1,categories: not sorted alphabetically
242,Sunkenland,2,categories: not sorted alphabetically; genres: not sorted alphabetically
243,Backrooms: Escape Together,2,categories: not sorted alphabetically; genres: not sorted alphabetically
244,Volcanoids,2,categories: not sorted alphabetically; genres: not sorted alphabetically
245,We Were Here,1,categories: not sorted alphabetically
246,Totally Reliable Delivery Service,1,categories: not sorted alphabetically
247,For The King,2,categories: not sorted alphabetically; genres: not sorted alphabetically
248,For The King II,2,categories: not sorted alphabetically; genres: not sorted alphabetically
249,Bopl Battle,1,categories: not sorted alphabetically
250,Cult of the Lamb,1,categories: not sorted alphabetically
251,Shovel Knight: Treasure Trove,1,categories: not sorted alphabetically
252,Soulmask,2,categories: not sorted alphabetically; genres: not sorted alphabetically
253,Prodeus,1,categories: not sorted alphabetically
254,Towerborne,0,
255,Ship of Fools,1,categories: not sorted alphabetically
256,Patch Quest,0,
257,Goose Goose Duck,1,categories: not sorted alphabetically
258,THE FINALS,1,categories: not sorted alphabetically
259,Marvel Rivals,1,categories: not sorted alphabetically
260,Tower Unite,1,categories: not sorted alphabetically
261,Delta Force,1,categories: not sorted alphabetically
262,Apex Legends™,1,categories: not sorted alphabetically
263,Phantasy Star Online 2 New Genesis,2,categories: not sorted alphabetically; genres: not sorted alphabetically
264,PEAK,1,categories: not sorted alphabetically
265,Absolum,1,categories: not sorted alphabetically
266,RV There Yet?,1,categories: not sorted alphabetically
267,Borderlands 4,0,
268,Coral Island,0,
269,Windswept,1,categories: not sorted alphabetically
270,Bellwright,2,categories: not sorted alphabetically; genres: not sorted alphabetically
271,ARC Raiders,0,
272,Minecraft Dungeons,2,categories: not sorted alphabetically; genres: not sorted alphabetically
